siteID,Lake_name,code,lake_or_reservoir,location,region,latitude,longitude,elevation_m,mean_depth_m,max_depth_m,surface_area_km2,volume_km3,source,sampling_depth,time_period,human_impacts,contributor
1,Abaya,1660,Lake,Ethiopia ,Africa,6.48,37.9,1249,7,13,1083.7,8.2,Satellite,skin,JFM, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
2,Ai.pi,2970,Lake,China ,Asia,44.86,83.02,166,11.89,15,600.2,7.14,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
3,Alakol,580,Lake,Kazakhstan ,Asia,46,81.78,336,22,54,2802.1,58.6,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
4,Albert,300,Lake,Uganda Zaire,Africa,1.8,31.1,629,25,58,5401.9,132,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
5,Aleknagik,is1,Lake,United states,Western North America,59.35,-158.82,10,43,110,83,3.56,Schindler,0,JAS,Introduction of Cedar River lowered Lake Level Sewage runoff occasional saline water entering through ship canal,Daniel Schindler deschind@uw.edu
6,Alexandrina,2100,Lake,Australia ,Oceania,-35.42,139.21,20,2,5,862.5,1.62,Satellite,skin,JFM, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
7,Allequash,is129,Lake,United States,Eastern North America,46.04,-89.62,494,2.9,8,1.68,4.88E-03,NTL LTER,0,JAS, ,Jordan Read jread@usgs.gov
8,Allgjuttern,is2,Lake,Sweden,Europe,57.94,16.09,126.3,11.4,40.7,0.18,2.10E-03,Weyhenmeyer,0,JAS, ,Gesa  Weyhenmeyer Gesa.Weyhenmeyer@ebc.uu.se
9,Almanor,17480,Reservoir ,United States ,Western North America,40.22,-121.1,1403,13.38,27.4,104.6,1.4,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
10,Amadjuak,560,Lake,Canada ,Eastern North America,64.95,-71.11,112,,,3033.7,,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
11,Annecy,is61,Lake,France,Europe,45.86,6.16,447,41,65,27,1.1,Anneville,2.5,JAS, ,Orlane Anneville orlane.anneville@thonon.inra.fr
12,Annie,,Lake,United States,Southeastern North America,27.2,-81.35,33.7,6,21,0.36,3.00E-03,Archbold Biological Station,0,JAS, ,Kye Ewing kewing@archbold-station.org
13,Apopka,is3,Lake,United States,Southeastern North America,28.61,-81.61,20,1.6,3,125,0.26,Havens,0,JAS,agriculture now converted to wetland low level residential,Karl Havens khavens@ufl.edu
14,Aral.Sea,40,Lake,Kazakhstan Uzbekistan,Middle East,44.8,58.44,42,16,67,65966.8,625,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
15,Argentina,1170,Lake,Argentina Chile,South America,-50.23,-72.36,225,150,500,1401.9,219.9,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
16,Argyle,980,Reservoir,Australia ,Oceania,-16.29,128.82,79,10.92,63,980,10.7,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
17,Ashokan.East,is62,Reservoir,United States,Eastern North America,41.97,-74.15,178.95,16.7,32.9,20.87,0.34,Samal,1,JAS,,Nihar Samal NSamal@dep.nyc.gov
18,Ashokan.West,is68,Reservoir,United States,Eastern North America,41.96,-74.25,179.83,15.6,56.4,12.76,0.18,Samal,1,JAS,,Nihar Samal NSamal@dep.nyc.gov
19,Athabasca,230,Lake,Canada ,Western North America,59.47,-109.39,212,26,124,7781.6,204,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
20,Atitlan,14790,Lake,Guatemala ,South America,14.7,-91.19,1615,220,342,123.6,24,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
21,Ayakkum,3120,Lake,China ,Asia,37.55,89.45,4161,,,575.1,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
22,Bahral.Milh,1730,Reservoir,Iraq ,Middle East,32.74,43.53,36,14,40,1810,25,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
23,Baikal.North,80,Lake,Russia ,Asia,54.2,108.97,450,730,1637,31924.6,23000,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
24,Baikal.South,81,Lake,Russia ,Asia,51.64,104.71,450,730,1637,31924.6,23000,Silow/Lyubov,0,JAS,,Eugene Silow; Lyubov Izmest'eva 
25,Balaton,3100,Lake,Hungary ,Europe,46.98,18.06,126,3.25,12.2,578.2,1.9,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
26,Balkhash,170,Lake,Kazakhstan ,Asia,46.3,74.5,329,5.8,25.6,17458.8,106,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
27,Bangweulu,810,Lake,Zambia ,Africa,-10.99,29.89,1170,4,10,2049.1,5,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
28,Barossa.Reservoir,is73,Reservoir,Australia,Oceania,-34.65,138.84,230.2,7.28,25.92,0.62,4.50E-03,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
29,Barun.Torey,2290,Lake,Russia ,Asia,50,115.52,595,1.76,4.6,783.4,1.38,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
30,Bay,2050,Lake,Philippines ,Oceania,14.41,121.13,12,2.8,7.3,883.7,3.2,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
31,Beauclair,is4,lake,United States, Southeastern North America,28.76,-81.66,19,2,2.4,4.3,0.01,Havens,0,JAS,row-crop agriculture golf course some low density residential,Karl Havens khavens@ufl.edu
32,Becharof.Lake,1450,Lake,United States ,Western North America,57.98,-156.64,22,,92,1184.5,,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
33,Beetaloo.Reservoir,is74,Reservoir,Australia,Oceania,-33.18,138.21,367.4,9.63,24.25,0.33,3.20E-03,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
34,Beloye,1600,Lake,Russia ,Europe,60.18,37.64,122,4.5,20,1095.4,6.2,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
35,Beysehir,2670,Lake,Turkey ,Middle East,37.7,31.56,1148,5,9,659.6,3.00E-03,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
36,Big.Muskellunge,is130,Lake,United States,Eastern North America,46.02,-89.61,250,7.5,21.3,3.96,0.02,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
37,Biwa.ko,2680,Lake,Japan ,Asia,35.33,136.17,69,41,104,658.5,27.5,Kumagai,0.5,JAS,,Michio Kumagai kumagai-m@lberi.jp
38,Blommesteinmeer.Brokopondo,1060,Reservoir,Suriname ,South America,4.86,-55.05,46,11.5,46.9,1631.4,22.7,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
39,Blue.Chalk,is75,Lake,Canada,Eastern North America,45.19,-78.93,343.5,8.5,23,0.52,4.47E-03,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
40,Blue.Cypress,is5,Lake,United States,Southeastern North America,27.72,-80.75,7,2.3,3.1,28,0.06,Havens,0,JAS,surrounded by forest but row-crop agriculture in the watershed,Karl Havens khavens@ufl.edu
41,BoengTonleChhma,640,Lake,Cambodia ,Asia,13.04,103.92,4,1,10,2569.9,2.56,Satellite,skin,JFM, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
42,Bosten,1810,Lake,China ,Asia,41.99,86.98,1062,9.7,15.7,999.5,8,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
43,Bourget,is76,Lake,France Savoie ,Europe,45.73,5.86,231,80,145,44,3.52,Anneville,2,JAS,Decrease in P  fisheries fish stocking,Orlane Anneville orlane.anneville@thonon.inra.fr
44,BrasDOr,1910,Lake,Canada ,Eastern North America,45.84,-60.79,35,33.5,287,953.8,32,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
45,Bratskoye,390,Reservoir,Russia ,Asia,55.62,101.99,399,31.1,150,4476.5,169.3,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
46,Brunnsjon,is6,Lake,Sweden,Europe,56.59,15.72,94.4,5.3,10.6,0.1,5.71E-04,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
47,Buenos.Aires,940,Lake,Chile Argentina,South America,-46.49,-71.45,451,,586,1848.2,,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
48,BuhayratAthTharthar,770,Reservoir,Iraq ,Middle East,33.88,43.3,48,40,65,2119.4,35.18,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
49,Burragorang.14.km.S.of.Dam.Wall,is104,Reservoir,Australia,Oceania,-33.88,150.6,116.7,27.1,105,75,2.03,Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
