siteID,Lake_name,Other_names,lake_or_reservoir,location,region,latitude,longitude,elevation_m,mean_depth_m,max_depth_m,surface_area_km2,volume_km3,source,sampling_depth,time_period,contributor
1,Abaya,,Lake,Ethiopia ,Africa,6.48,37.9,1249,7,13,1083.7,8.2,Satellite,skin,JFM,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
4,Albert,,Lake,Uganda Zaire,Africa,1.8,31.1,629,25,58,5401.9,132,Satellite,skin,JFM,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
27,Bangweulu,,Lake,Zambia ,Africa,-10.99,29.89,1170,4,10,2049.1,5,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
55,CaboraBassa,,Reservoir,Mozambique Zimbabwe,Africa,-15.61,32.32,420,20.9,157,4362.6,55.8,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
62,Chad,,Lake,Chad Nigeria Niger Cameroon,Africa,13.12,14.45,279,1.5,8,19346.6,6.3,Satellite,skin,JFM,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
67,Chilwa,,Lake,Malawi ,Africa,-15.36,35.72,629,1,2.7,695.7,1.8,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
69,Chishi,"Mweru Wantipa, Cheshi",Lake,Zambia ,Africa,-8.66,29.73,945,2,5,1389.9,2.77,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
87,Edward,,Lake,Zaire Uganda,Africa,-0.3,29.62,781,34,117,2252.5,39.52,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
92,Eyasi,,Lake,Tanzania ,Africa,-3.58,35.13,1023,1,1,1113,1.11,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
135,Kainji,,Reservoir,Nigeria ,Africa,10.4,4.56,96,10.6,12.1,1414,15,Satellite,skin,JFM,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
139,Kariba,,Reservoir,Zimbabwe Zambia,Africa,-16.68,28.44,468,29,97,4958.5,160,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
145,Kivu,,Lake,Zaire Rwanda,Africa,-1.79,29.14,1500,240,480,2370.7,333,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
169,Mai.Ndombe,,Lake,Zaire ,Africa,-1.69,18.28,335,5,10,1954.9,,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
171,Malawi.Buoy1,,Lake,Malawi Mozambique Tanzania,Africa,-13.86,34.85,485,292,706,29251.5,8400,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
172,Malawi.Buoy2,,Lake,Malawi Mozambique Tanzania,Africa,-13.43,34.74,485,292,706,29251.5,8400,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
173,Malawi.Center,,Lake,Malawi Mozambique Tanzania,Africa,-11.73,34.62,485,292,706,29251.5,8400,Satellite,skin,JAS,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
